OBJECT TYPE	JOB NAME	CLASSIFICATION FULL	STATUS	DIFFERENCES	SAMSUNG JOB NAME	SAMSUNG STATUS	DIFFERENCES	COMPARE OBJECTS	COMPARE STATUS	RESPONSIBLE	START DATA	END DATA	OBS
JOB	SEDA_S_NERP_ZRFIZFX00007_EXCHANGE_RATE	Phase 01	5. Done	743	SEDA_S_NERP_ZRFIZFX00007_EXCHANGE_RATE	3. To DO Activation	743	VERDADEIRO	FALSO	Bruno(imexp)	26/fev	26/fev	
JOB	SEDA_S_ODS_ERP_OUTBOUND_DO_REPORT	Phase 02	1. To Do Migration	746	SEDA_S_ODS_ERP_OUTBOUND_DO_REPORT	3. To DO Activation	746	VERDADEIRO	FALSO	Bruno(imexp)	26/fev		Equalizar tabelas
JOB	SEDA_S_ODS_GSCM_SO_FCST_VD	Phase 02	5. Done	756	SEDA_S_ODS_GSCM_SO_FCST_VD	1. To Do Migration	756	VERDADEIRO	FALSO	Bruno(imexp)	26/fev	26/fev	
JOB	SEDA_S_ODS_NERP_ZRMMJ310410_DISPLAY_AVALIABLE_STOCK_OVERVIEW	Phase 01	5. Done	771	SEDA_S_ODS_NERP_ZRMMJ310410_DISPLAY_AVALIABLE_STOCK_OVERVIEW	5. Done	771	VERDADEIRO	VERDADEIRO	Bruno(imexp)	12/fev	13/fev	
JOB	SEDA_S_SAMPLE_NERP_ZRSDE61020_DISPLAY_SAMPLE_INVENTORY_STATUS	Phase 01	5. Done	827	SEDA_S_SAMPLE_NERP_ZRSDE61020_DISPLAY_SAMPLE_INVENTORY_STATUS	3. To DO Activation	827	VERDADEIRO	FALSO	Bruno(imexp)	26/fev	27/fev	
JOB	SEDA_S_SAMPLE_NERP_ZTSDE6S120_DATA_BROWSER	Phase 01	5. Done	829	SEDA_S_SAMPLE_NERP_ZTSDE6S120_DATA_BROWSER	3. To DO Activation	829	VERDADEIRO	FALSO	Bruno(imexp)	26/fev	27/fev	
JOB	SEDA_S_SCM_NERP_ZLLEJ50090_OUTBOUND_TRACKING_OUTPUT	Phase 01	5. Done	833	SEDA_S_SCM_NERP_ZLLEJ50090_OUTBOUND_TRACKING_OUTPUT	3. To DO Activation	833	VERDADEIRO	FALSO	Bruno(imexp)	24/fev	24/fev	
JOB	SEDA-S_LOGISTICS_ODS_ONTIMEGI_RAWDATA_GPL	Phase 02	5. Done	888	SEDA-S_LOGISTICS_ODS_ONTIMEGI_RAWDATA_GPL	3. To DO Activation	888	VERDADEIRO	FALSO	Bruno(imexp)	25/fev	25/fev	
JOB	SEDA-S_ODS_NERP_ZRSDD6A080_SALES_ORDER_LIST	Phase 01	4. On Going Activation	959	SEDA-S_ODS_NERP_ZRSDD6A080_SALES_ORDER_LIST	3. To DO Activation	959	VERDADEIRO	FALSO	Bruno(imexp)	23/fev	24/fev	
JOB	SEDA-S_ODS_SURICATO_HR	Phase 02	5. Done	961	SEDA-S_ODS_SURICATO_HR	1. To Do Migration	961	VERDADEIRO	FALSO	Bruno(imexp)	25/fev	25/fev	
													
